,zdate,ztime,Date,po_number,customer,style,doff_id,current_stock,ATC_quantity,sticker_count,end_count,dyeot,cflag,emp_id,emp_name,machine_id,shift,time_taken,length_passed,doff_type,error_details,error_code,error_text,MATNR,Error_wrt_Sticker,Towel_type,effective_run_time,week,month,quarter,Knotting,Plain,False Alarm,Damage,Others
0,2021:09:07,22:15:56,09/07/2021,250829700,Amazon,Solid,L152048220,28210,942,945,6,temp,full,110795,John,Machine 3,B,8,1282,full,0,[],[],TDAH645MB0P,0.32,Bath,6.13,Week 36,September,Q 3,0,0,0,0,0
1,2021:09:07,21:33:52,09/07/2021,250829700,Amazon,Solid,L119048198,31096,1098,1098,9,temp,full,110795,John,Machine 3,B,14,1491,full,0,[],[],TDAH645MB0P,0.0,Bath,12.18,Week 36,September,Q 3,0,0,0,0,0
2,2021:09:07,21:59:01,09/07/2021,250829700,Amazon,Solid,L149048219,31096,858,861,3,temp,full,110795,John,Machine 3,B,4,1171,full,1,[],[''],TDAH645MB0P,0.35,Bath,32.52,Week 36,September,Q 3,0,0,0,0,0
3,2021:09:07,23:58:55,09/07/2021,250829700,Amazon,Solid,L003048265,19741,1167,1173,3,temp,full,62685,Alex,Machine 3,C,5,1594,full,1,[],[''],TDAH645MB0P,0.51,Bath,28.87,Week 36,September,Q 3,0,0,0,0,0
4,2021:09:07,21:46:13,09/07/2021,250829700,Amazon,Solid,L033048262,31096,936,927,9,temp,full,110795,John,Machine 3,B,7,1269,full,1,[],[''],TDAH645MB0P,-0.97,Bath,22.05,Week 36,September,Q 3,1,0,0,0,0
5,2021:09:07,22:32:12,09/07/2021,250829700,Amazon,Solid,L192048176,28210,936,939,6,temp,full,110795,John,Machine 3,B,10,1274,full,1,[],[''],TDAH645MB0P,0.32,Bath,20.0,Week 36,September,Q 3,1,0,0,0,0
6,2021:09:07,23:43:46,09/07/2021,250829700,Amazon,Solid,L147048312,19741,852,843,3,temp,full,62685,Alex,Machine 3,C,19,1163,full,1,[],[''],TDAH645MB0P,-1.07,Bath,16.75,Week 36,September,Q 3,1,0,0,0,0
7,2021:09:08,08:54:29,09/08/2021,250829704,Amazon,Texture,l270046360,32189,531,645,3,temp,full,142641,Jack,Machine 3,A,3,723,full,0,[],[],TDAH646MB0P,17.67,Bath,61.33,Week 36,September,Q 3,0,0,0,0,0
8,2021:09:08,14:29:07,09/08/2021,250829704,Amazon,Texture,l359048488,19642,1101,1104,12,temp,full,142641,Jack,Machine 3,A,5,1491,full,0,[],[],TDAH646MB0P,0.27,Bath,43.47,Week 36,September,Q 3,0,0,0,0,0
9,2021:09:08,09:50:45,09/08/2021,250829704,Amazon,Texture,l173047634,32189,1185,1185,9,temp,full,142641,Jack,Machine 3,A,5,1611,full,0,[],[],TDAH646MB0P,0.0,Bath,33.3,Week 36,September,Q 3,0,0,0,0,0
